PlaceName,County,Business Name,Address Line 1,Address Line 2,City,State,Zip,Telephone Number,Should the customer call first?,Email Address,Website,Facebook,Instagram,Directions to business,Months open for business,Days open,Hours on Monday,Hours on Tuesday,Hours on Wednesday,Hours on Thursday,Hours on Friday,Hours on Saturday,Hours on Sunday,Operation type,Agritourism activities offered,Operation type (other),Certified organic,SNAP accepted,ADA accessible,Organic certification agency,Produce Categories 1,Produce Categories 2,Produce Categories 3,Produce Categories (other),Meat Categories,Game,Fish,Meat (other),Miscellaneous 1,Miscellaneous 2,Miscellaneous (Other),Additional information,Wines,Daily hours,Latitude,Longitude
,Chaffee,Guidestone Colorado,8913 West Hwy 50,,Salida,CO,81201,(719) 239-0955,,info@guidestonecolorado.org,www.GuidestoneColorado.org,,,,May|June|July|August|September|October|February|March|April|November,8,,,,,,,,Agritourism|Community Gardens|On-Farm/Ranch sales|Sell to Schools|Centennial Farm/Ranch,Event Facilities|Pumpkin Patch|Tours,"Historic Homestead, education programs and other community events",No,Yes,Yes,,Beets|Bell Peppers|Broccoli|Brussels Sprouts|Cabbage|Carrots|Cauliflower|Celery|Cucumbers,Eggplant|Garlic|Green Beans|Herbs|Kale|Leeks|Lettuce|Microgreens|Onions,Peas|Potatoes|Pumpkins|Radishes|Rhubarb|Spinach|Squash|Tomatoes|Turnips|Zucchini,,Beef,,,,,Cider,The cider is specifically in conjunction with our annual Pumpkin Patch & Harvest Festival in October,"Guidestone Colorado operates the Hutchinson Homestead & Learning Center, a 150 year old historic homestead where the history of the land comes to life through education programs, heritage tours and community events like the annual Pumpkin Patch & Harvest Festival. Guidestone's farmstand is open Tuesdays 4-6pm, May-October.",,9am-4pm,38.53883153513492,-106.18720074498013
,Jefferson,Fleischer Family Farm,2005 S Zephyr Ct,,Lakewood,CO,80227,(412) 973-8041,No,fleischerfamilyfarm@gmail.com,www.fleischerfamilyfarm.com,https://www.facebook.com/TheFleischerFamilyFarm,https://www.instagram.com/FleischerFamilyFarm,,May|June|July|August|September|October|November|December,2|6,,4-7PM ,,,,10-2,,Agritourism|CSA Farm|Garden Center|Greenhouse|Roadside Market,Event Facilities|Tours,"Farm to Table Dinners, Kids Camps, Adult Classes",No,Yes,Yes,,Beets|Bell Peppers|Broccoli|Cabbage|Carrots|Chile Peppers|Cucumbers,Eggplant|Garlic|Green Beans|Herbs|Kale|Leeks|Lettuce|Microgreens|Onions,Peas|Pumpkins|Radishes|Rhubarb|Spinach|Squash|Tomatoes|Turnips|Zucchini,,,,,,Eggs|Honey,,,"The Fleischer family farm is a 2 acre mixed vegetable production farm that focuses on two local markets, a large CSA program and supplying food to a small mountain town grocery store. We also host a number of Agritourism events, such as a kids summer farm camp, adult education classes, and a 100 diner Farm To table dinner",,,39.68051400000002,-105.08593499999999
,Douglas,The Larkspur Farmers Market,8820 Spruce Mountain Road ,,Larkspur,CO,80118,(720) 519-7178,Yes,thelarkspurfarmersmarket@gmail.com,www.thelarkspurfarmersmarket.com,The Larkspur Farmers Market ,The Larkspur farmers Market ,,June|July|August|September,3,,,3PM - 7Pm,,,,,Farmers' Market,,,No,No,Yes,,Apples|Apricots|Asparagus|Beets|Bell Peppers|Brussels Sprouts|Broccoli|Cabbage|Cantaloupe|Carrots|Cauliflower|Celery|Cherries|Chile Peppers|Chile - Roasted|Cucumbers,Pears|Peaches|Onions|Okra|Nectarines|Mushrooms|Microgreens|Lettuce|Leeks|Kale|Honeydew|Herbs|Green Beans|Grapes|Garlic|Eggplant,Peas|Plums|Potatoes|Pumpkins|Radishes|Raspberries|Rhubarb|Spinach|Squash|Strawberries|Sweet Corn|Tomatoes|Turnips|Watermelon|Zucchini,,Beef|Buffalo|Jerky|Lamb|Pork|Poultry|Sausage,,,,Baked Goods|Cheese|Eggs|Honey|Jams|Jellies|Pickles|Popcorn,Cider|Juices|Mead|Handcrafted Gifts,,"Find locally grown organic fruits and vegetables, farm-fresh eggs, and locally raised organic meats. Browse beautiful home dÃ©cor and handcrafted goods, artisan oils, soaps, and candles, along with unique local art and crafts and so much more!",,,39.23331300000001,-104.8823235
,Jefferson,Golden Chamber of Commerce,1010 Washington Ave,,Golden,CO,80401,(720) 769-2143,Yes,info@goldenfarmersmarket.org,https://goldenfarmersmarket.org/,https://www.facebook.com/https://www.facebook.com/goldenfarmersmarket,https://www.instagram.com/https://www.instagram.com/goldenfarmersmarket,,June|July|August|September|October,6,,,,,,8am-1pm,,Farmers' Market,,,No,Yes,Yes,,Apples|Apricots|Asparagus|Beets|Bell Peppers|Broccoli|Brussels Sprouts|Cabbage|Cantaloupe|Carrots|Cauliflower|Celery|Cherries|Chile Peppers|Chile - Roasted|Cucumbers,Eggplant|Garlic|Green Beans|Herbs|Honeydew|Kale|Leeks|Lettuce|Microgreens|Mushrooms|Nectarines|Onions|Peaches|Pears,Peas|Plums|Potatoes|Pumpkins|Radishes|Raspberries|Spinach|Squash|Strawberries|Sweet Corn|Tomatoes|Turnips|Watermelon|Zucchini,,Beef,,,,Baked Goods|Cheese|Eggs|Honey|Jams|Jellies|Pickles,Handcrafted Gifts|Juices|Cider,,"The market takes place in the parking lot west
of the Golden Public Library. We host 70 vendors weekly plus live entertainment. ",,,39.756969,-105.223302
,Denver,FrontLine Farming,5270 Federal Blvd,,Denver,CO,80221,(720) 258-6609,No,info@frontlinefarming.org,https://www.frontlinefarming.org/csa,,,,June|July|August|September|October,2|4|6,,4 pm - 6 pm ,,4 pm - 6 pm ,,12pm - 2pm,,CSA Farm|On-Farm/Ranch sales,,Educational Farm,No,Yes,Yes,,Asparagus|Beets|Bell Peppers|Broccoli|Cabbage|Cantaloupe|Carrots|Cauliflower|Chile Peppers|Cucumbers,Eggplant|Garlic|Grapes|Green Beans|Herbs|Honeydew|Kale|Leeks|Lettuce|Okra|Onions,Peas|Potatoes|Pumpkins|Radishes|Rhubarb|Spinach|Squash|Strawberries|Sweet Corn|Tomatoes|Turnips|Watermelon|Zucchini,Flowers,,,,,Jams|Jellies,,,"We work with community partners to develop and nurture local food networks, and support farmer leadership in food systems development. Through food production, land stewardship, education, and community collaboration, we work to create a thriving agricultural landscape and vibrant local economies.",,,39.79323329859874,-105.02507521001375
,Boulder,Boulder Valley Honey,7103 Valmont Road,,Boulder,CO,80301,(303) 990-3998,No,Chris@BoulderValleyHoney.com,BoulderValleyHoney.com,Facebook.com/BoulderValleyHoney,Instagram.com/BoulderValleyHoney,,January|February|March|April|June|May|July|August|September|October|November|December,8,,,,,,,,CSA Farm|Roadside Market|On-Farm/Ranch sales,,,No,Yes,No,,,,,,,,,,Honey,,"Local Honeybees, Queens, Beeswax, Nucs, Beehive Equipment from CO timber, Beekeeping and Health Consultation","We are local beekeepers selling only the honey produced from our own beehives.  We  catalog the flora of each of our honeys which are separated during extraction to retain their unique locality.  Wholesaling, bulk, custom labeling, weddings, research, and consult available.  We research and publish on bees with CU and CSU.",,Sunrise to Sunset Honey Pickup,40.034637000000004,-105.1861725
,Boulder,Father Earth Organic Farm LLC,8881 Elgin Drive,,Lafayette,CO,80026,(720) 849-3484,Yes,hodjelodje@comcast.net,fatherearthorganicfarm.com,,,,May|June|July|August|September|October,6,,,,,,9 a.m. - 1 p.m.  Louisville Farmer's market,,CSA Farm,,,No,Yes,No,,Beets|Broccoli|Cantaloupe|Carrots|Chile Peppers|Cucumbers,Eggplant|Garlic|Green Beans|Herbs|Honeydew|Kale|Lettuce|Microgreens|Onions,Radishes|Rhubarb|Spinach|Squash|Strawberries|Tomatoes|Turnips,,,,,,Jams|Jellies|Pickles,,,"Father Earth Organic Farm is a small micro farm in Lafayette Colorado.  We specialize in providing fresh organic produce to our community thru the Louisville Farmer's Market and thru our CSA Farm Share program.  When available, we donate fresh produce to local food banks such as Sister Carmens and Community Food Share.",,,40.00265999999999,-105.146001
,Pueblo,Donald C Mauro Farms ,35511 Everett Rd,,Pueblo,CO,81006,(719) 948-3387,No,,,,,,June|July|August|September|October,8,,,,,,,,U-pick|On-Farm/Ranch sales,,,No,No,Yes,,Asparagus|Beets|Bell Peppers|Cabbage|Cantaloupe|Carrots|Chile Peppers|Chile - Roasted|Cucumbers,Eggplant|Garlic|Green Beans|Lettuce|Onions,Peas|Pinto Beans|Pumpkins|Radishes|Rhubarb|Squash|Sweet Corn|Tomatoes|Watermelon|Zucchini,,,,,,,,,Small Farm Market located in Vineland CO - head down the long driveway and pull up around the back of the house - CASH ONLY ,,9 a.m. to 5 p.m.,38.25091800000001,-104.4643365
,Pueblo,Musso Farms ,35779 Hillside Rd,,Pueblo ,CO,81006,(719) 948-3581,No,socochileinc@gmail.com,https://www.mussofarmschileroom.com/?srsltid=AfmBOopmJHrwp3V5nJcpVdJMXROam98ePfp2E4mcVodnHUJ8LBP7fJ7z,https://www.facebook.com/MussoFarms/,,,June|July|August|September|October,8,,,,,,,,Roadside Market,Hayrides|Pumpkin Patch,,No,Yes,Yes,,Asparagus|Beets|Bell Peppers|Broccoli|Cabbage|Cantaloupe|Carrots|Chile Peppers|Chile - Roasted|Cucumbers,Eggplant|Garlic|Green Beans|Herbs|Onions,Peas|Pinto Beans|Potatoes|Pumpkins|Radishes|Squash|Strawberries|Sweet Corn|Tomatoes|Watermelon|Zucchini,,Jerky,,,,Baked Goods|Cheese|Honey|Pickles,,"Chile powder and other spices, Pueblo Chile Pasta, freeze chile, numerous other products. ","Stop by for fresh produce, stay for some fun! ",,9 a.m. - 6 p.m. ,38.24369999999999,-104.46137999999999
,Weld,Town of Windsor,"250 11th St., Windsor",,Windsor,CO,80550,(970) 388-7354,No,slaub@windsorgov.com,www.recreationliveshere.com,,,,June|July|August|September,6,,,,,,8-12:30,,Farmers' Market,,,No,No,Yes,,Bell Peppers|Broccoli|Brussels Sprouts|Cabbage|Cantaloupe|Carrots|Cherries|Chile - Roasted|Cucumbers,Green Beans|Herbs|Lettuce|Mushrooms|Onions|Peaches|Pears,Potatoes|Pumpkins|Raspberries|Spinach|Squash|Strawberries|Sweet Corn|Tomatoes|Zucchini,,Beef|Jerky,,,,Baked Goods|Honey|Jams|Jellies|Pickles|Popcorn,Handcrafted Gifts,,Windsor Farmer's Market at Boardwalk Park,,,40.482684000000006,-104.918886
,La Plata,Durango Farmers Market,259 W. 9th Street,,Durango,CO,81301,(970) 335-8223,No,director@durangofarmersmarket.com,www.durangofarmersmarket.com,https://www.facebook.com/durangofarmersmarket,@durangofarmers,,October|September|August|July|June|May,6,,,,,,8 AM - 12 PM (May-Sep.) 9 AM - 12 PM (Oct.),,Farmers' Market,Tours,,No,Yes,Yes,N/A - we have vendors who sell organic,Apples|Apricots|Asparagus|Beets|Bell Peppers|Broccoli|Brussels Sprouts|Cabbage|Cantaloupe|Carrots|Cauliflower|Celery|Cherries|Chile Peppers|Chile - Roasted|Cucumbers,Eggplant|Garlic|Green Beans|Herbs|Honeydew|Kale|Leeks|Lettuce|Microgreens|Mushrooms|Okra|Onions|Peaches|Pears,Peas|Potatoes|Pumpkins|Radishes|Raspberries|Rhubarb|Spinach|Squash|Strawberries|Tomatoes|Turnips|Watermelon|Zucchini,,Beef|Lamb|Pork|Poultry|Sausage,,,,Baked Goods|Cheese|Eggs|Honey|Jams|Jellies|Pickles,Cider|Juices|Mead|Handcrafted Gifts,,,,,37.274252187583635,-107.884298697417
,Arapahoe,Aspen Grove Farmers Market,7301 S Santa Fe Dr,#150,Littleton,CO,80120,(720) 515-0431,No,abmarketcolorado@gmail.com,www.AspenGroveFarmersMarket.com,Aspen Grove Farmers Market,AspenGroveFarmersMarket,,June|July|August|September,5,,,,,10-2,,,Farmers' Market,,,No,No,Yes,,Apples|Apricots|Asparagus|Beets|Bell Peppers|Broccoli|Cabbage|Carrots|Cauliflower|Celery|Cherries|Chile - Roasted|Cucumbers,Garlic|Green Beans|Herbs|Kale|Leeks|Lettuce|Microgreens|Mushrooms|Onions|Peaches|Pears,Plums|Spinach|Squash|Strawberries|Tomatoes|Turnips|Zucchini,,Beef,,,,Baked Goods|Honey|Jams|Jellies,Handcrafted Gifts,,"The Aspen Grove Farmers Market is proud to offer a weekday market option conveniently located just off Santa Fe in the Aspen Grove shopping center. With 20+ vendors offering fresh produce, baked goods, handmade items, and more, itâ€™s an easy Friday stop!",,,39.58632,-105.023655
,Denver,"Colo-Pac Produce, Inc.",4345 Oneida Street,,Denver,CO,80216,(303) 291-0155,,email@colo-pac.com,www.colopac.com,,,,January|February|March|April|May|June|July|August|September|October|November|December,1|2|3|4|5|6,6 am - 3 pm,6 am - 3 pm,6 am - 3 pm,6 am - 3 pm,6 am - 3 pm,6 am - 10 am,,Sell to Schools|CSA Farm,,"Wholesaler, Repacker and Distributor of Colorado Grown Fresh Produce and Eggs",Yes,No,No,Colorado Department of Agriculture,Apples|Apricots|Asparagus|Beets|Bell Peppers|Broccoli|Brussels Sprouts|Cabbage|Cantaloupe|Carrots|Cauliflower|Celery|Cherries|Chile Peppers|Chile - Roasted|Cucumbers,Eggplant|Garlic|Grapes|Green Beans|Honeydew|Herbs|Kale|Leeks|Lettuce|Mushrooms|Microgreens|Nectarines|Okra|Onions|Pears|Peaches,Peas|Pinto Beans|Plums|Potatoes|Pumpkins|Radishes|Raspberries|Rhubarb|Spinach|Squash|Strawberries|Sweet Corn|Tomatoes|Watermelon|Turnips|Zucchini,,,,,,Eggs,,,"Wholesale, Repacker and Distributor of Fresh Colorado Fruits, Vegetables and Eggs. Family Business in Denver since 1929. Colorado Supported Agriculture box program available 2026!",,,39.77715599999999,-104.909004
,Pueblo,Quarter Acre and a Mule Farm,2207 E 12th St,,Pueblo,CO,81001,,No,,https://quarteracreandamule.com/,,,,June|July|August|September|October,6,,,,,,9:00am - Noon,,,,Farm stand,No,Yes,No,,Apples|Beets|Bell Peppers|Broccoli|Cabbage|Cantaloupe|Carrots|Cauliflower|Chile Peppers|Cucumbers,Eggplant|Garlic|Grapes|Green Beans|Herbs|Honeydew|Kale|Leeks|Lettuce|Onions,Pinto Beans|Potatoes|Pumpkins|Radishes|Squash|Sweet Corn|Tomatoes|Watermelon|Zucchini,,,,,,Cheese|Eggs|Honey|Jams|Jellies|Pickles,,,"We gladly accept SNAP, CO Produce Bonus, Double Up Food Bucks, Fresh to Flourish and PowerUp Protein. The farm will set up a stand at Mesa Gardens Apartments monthly
June 20
July 18
August 15
Sept 26
Oct 17",,,38.27978999999999,-104.5695375
,Morgan,"4B Ranch Livestock, LLC","35198 County Road 19, Fort Morgan CO 80701",,FORT MORGAN,CO,80701,(970) 380-4433,Yes,4branchlivestock@gmail.com,4branchlivestock.com,,,,November|December|October|September|August|July|June|May|April|March|February|January,5|4|3|2|1|6|8,10am to 5pm,10am to 5pm,10am to 5pm,10am to 5pm,10am to 5pm,10am to 5pm,,On-Farm/Ranch sales,,ice cream toppings,No,No,Yes,,,,,,,,,,Baked Goods|Eggs,,,"4B Ranch & Livestock, LLC is a family-operated Colorado ranch offering fresh farm eggs, homemade signature banana bread, and handcrafted wood items. The ranch also raises cattle and breeds working Australian Shepherds in a hands-on livestock environment, providing quality, locally produced products to the Colorado community",,10am to 5pm,40.51213813765911,-103.79013541840057
,Denver,Fox Fungi,2370 S Kalamath St Unit D,,Denver ,CO,80223,(303) 656-1230,No,contact@foxfungi.com,HTTPS://Www.foxfungi.com,,,,January|February|March|April|May|June|July|August|September|October|November|December,1|2|3|4|5|6|7|8,12-6,12-6,12-6,12-6,10-7,10-7,12-5,On-Farm/Ranch sales,,,No,No,Yes,,,Mushrooms,,,,,,,,,,Urban farm located in the heart of Denver specializing in a large variety of culinary gourmet mushrooms.,,12â€“6,39.67371,-105.0002865
,Morgan,Christensen Ranch,24951 CR 9.5,,Weldona,CO,80653,(970) 645-1339,,christensenranch@gmail.com,christensenranch.com,ChristensenRanchBeef,,,January|February|March|April|May|June|July|August|September|October|November|December,1|2|3|4|5,8 am - 4 pm,8 am - 4 pm,8 am - 4 pm,8 am - 4 pm,8 am - 4 pm,,,Centennial Farm/Ranch,,Online sales and pick up,No,No,No,,,,,,Beef,,,,,,,"Pasture-raised, corn-finished beef. Beef boxes and eighth, quarter, and half shares ship to you. Custom quarters, halves, and wholes for pick up.",,,40.36110685582149,-103.9691104141486
,Denver,Green Vally Ranch NE Denver Farmers Market (Presented by Grateful Garden llc),4890 argonne way,,Denver,CO,80249,(720) 619-0619,No,katrina@gratefulgardenllc.com,Gvrfarmersmarket.com,https://www.facebook.com/GVRFarmersMarket,https://www.instagram.com/gvrfarmersmarket,,June|July|August,3,,,5pm-8pm ,,,,,Agritourism|Community Gardens|Farmers' Market|Roadside Market,,,No,Yes,Yes,,Apples|Asparagus|Beets|Cabbage|Cherries|Chile Peppers|Chile - Roasted|Cucumbers,Eggplant|Garlic|Green Beans|Herbs|Kale|Leeks|Lettuce|Microgreens|Mushrooms|Peaches,Peas|Radishes|Rhubarb|Spinach|Squash|Tomatoes,,Beef|Buffalo|Jerky|Lamb|Pork|Poultry|Sausage,,,,Baked Goods|Cheese|Eggs|Honey|Jams|Jellies|Pickles|Popcorn,Cider|Juices,,"Urban farms, fresh eggs and FREE LIVE MUSIC and Family Friendly ENTERTAINMENT. Local businesses",,,39.78558000000001,-104.76711449999999
,Boulder,Old Elm Farm,8912 Arapahoe Rd,,Boulder,CO,80303,(303) 618-0571,,theoldelmboulder@gmail.com,theoldelmboulder.com,,,,May|June|July|August|September,5|6,,,,,2 pm - 7 pm,10 am - 3 pm,,Agritourism|On-Farm/Ranch sales|Roadside Market|Sell to Schools,Bed & Breakfast|Event Facilities|Farm or Ranch Vacations,,No,Yes,Yes,,Apples|Beets|Cantaloupe|Carrots|Chile Peppers|Cucumbers,Garlic|Herbs|Kale|Lettuce|Peaches,Potatoes|Radishes|Spinach|Squash|Strawberries|Tomatoes,,,,,,Baked Goods|Eggs|Honey,Handcrafted Gifts,,"Old Elm farm grows a variety of vegetables, herbs, berries, flowers and honey. We host farm to table dinners during the warm seasons and offer overnight farm stays through Air BnB. ",,,40.01364000000001,-105.144786
,Eagle,Mountain Market & Supply,112 W Second Street,,Eagle,CO,81631,(719) 838-3852,,mountainmarketeagle@gmail.com,,https://www.facebook.com/profile.php?id=61563573157184,https://www.instagram.com/mtnmarketandsupply/,,January|February|March|May|April|June|July|August|September|October|November|December,2|3|4|5|6,,11am-6pm,11am-6pm,11am-7pm,12pm-5pm,11am-6pm,,,,Retail Market,No,No,Yes,,Apples|Apricots|Asparagus|Beets|Bell Peppers|Broccoli|Brussels Sprouts|Cabbage|Cantaloupe|Carrots|Cauliflower|Celery|Cherries|Chile Peppers|Cucumbers,Eggplant|Garlic|Herbs|Kale|Leeks|Lettuce|Microgreens|Mushrooms|Nectarines|Onions|Peaches|Pears,Peas|Plums|Potatoes|Pumpkins|Radishes|Raspberries|Rhubarb|Spinach|Squash|Strawberries|Sweet Corn|Tomatoes|Watermelon|Zucchini,,Beef|Jerky|Pork|Poultry|Sausage,"Bison, Elk",,,Baked Goods|Cheese|Eggs|Honey|Jams|Jellies|Pickles,Cider|Juices|Handcrafted Gifts,Bulk refill products,"Locally owned market prioritizing small farmers and producers.  Focus on local, sustainable, and/or artisanal products. Offerings include summer/fall CSA partnership, CO honey and seasonal produce, bulk refill soaps, groceries, prepared meals and gifts.",,,39.65509800000001,-106.8283395
,Pueblo,DiSanti Farms,29114 South Rd,,Pueblo,CO,81006,(719) 948-2526,,sales@disantifarms.com,,,,,May|June|July|August|September|October,8,,,,,,,,Roadside Market|U-pick|Sell to Schools,,,No,Yes,Yes,,Beets|Bell Peppers|Cantaloupe|Chile Peppers|Chile - Roasted|Cucumbers,Eggplant|Green Beans|Honeydew|Onions|Nectarines|Peaches,Pinto Beans|Pumpkins|Radishes|Sweet Corn|Tomatoes|Watermelon|Zucchini,,,,,,Baked Goods|Jams|Jellies|Honey,,,"Fresh, homegrown produce including green chiles, melons, sweet corn, tomatoes, pumpkins and
more! Locally owned and operated since 1890, we are committed to providing our community and
customers with the best produce and experience.",,9am to 5pm,38.226608999999996,-104.5153305
,Rio Grande,Laz U 2 Bar Goat Dairy & Farm ,10530 County Road 15,,Del Norte,CO,81132,(719) 850-9914,Yes,lazu2bar@gmail.com,none,,,,January|February|March|April|May|June|July|August|September|October|November|December,8,,,,,,,,Centennial Farm/Ranch|On-Farm/Ranch sales,,,No,No,Yes,,,,,,Beef|Pork|Lamb,,,,Cheese,,"Tours - come meet the ""girls"" and hug a baby goat or scotty calf","Laz Ewe 2 Bar Goat Dairy/Knoblauch Ranch is a Centennial Ranch located in the flood plain of the Rio Grande River between Del Norte and Southfork.  We are producing fine goat and cow cheeses as well as Scottish Highlander Grass Fed Beef, lamb and pork. Our property is protected by a Conservation Easement.",,No set schedule call before you come!,37.69532100000001,-106.48143
,Pitkin,Two Roots Farm LLC,100 Sopris Creek Road,,Basalt,CO,81621,,,farmers@tworootsfarm.com,www.tworootsfarm.com,,,,June|July|August|September|October,5,,,,,9am-1pm,,,CSA Farm|On-Farm/Ranch sales|Roadside Market|U-pick,,,No,Yes,Yes,,,,,,,,,,,,,"Two Roots Farm has been growing vegetables, herbs, and flowers for the Roaring Fork Valley using regenerative methods since 2016. We aim to grow food in the cleanest, healthiest way possible: prioritizing the vitality of our farmers, soil, and eaters above all else. ",,,39.37097700000001,-107.0349525
,Weld,Anderson Farms,6728 County Rd 3 1/4,,Erie,CO,80516,(303) 828-5210,No,info@andersonfarms.com,https://andersonfarms.com/,https://www.facebook.com/AndersonfarmsCO,https//andersonfarmsco,,August|September|October,1|3|4|5|6|7,Varies,,Varies,Varies,Varies,Varies,Varies,Agritourism|On-Farm/Ranch sales|U-pick,Corn Maze|Hayrides|Pumpkin Patch|Tours,,No,No,Yes,,,,Pumpkins|Squash,,,,,,Baked Goods|Honey|Jellies|Jams|Pickles|Popcorn,Cider|Handcrafted Gifts,"Sunflowers, Wildflowers","Coloradoâ€™s Largest Fall Family Entertainment Destination! U-Pick Sunflowers opens weekends in Aug with 15-acres of sunflowers and wildflowers. Fall Fest opens in September & October with a 25-acre corn maze, 100 varieties of pumpkins, squash, & gourds, plus many family friendly activities for a fun filled day.",,,40.098501,-105.031773
,Adams,"Berry Patch Farms, LLC",13785 POTOMAC ST,,Brighton,CO,80601,(303) 659-5050,No,,berrypatchfarms.com,Berry Patch Farms,berrypatchfarms,,January|February|March|April|May|June|July|August|September|October|November|December,2|4|6,,8am-1pm;  4-7pm  ( check website for seasonal updates or call 303-659-5050),,8am-1pm (check website for seasonal updates or call  303-659-5050),,8am-4pm (check website for seasonal updates or call 303-659-5050),,Agritourism|CSA Farm|On-Farm/Ranch sales|U-pick,Hayrides|Pumpkin Patch|Tours|Event Facilities,"school fieldtrips; floral teas, birthday parties, farm to table breakfast",Yes,No,Yes,CDA,Apples|Beets|Bell Peppers|Cabbage|Cantaloupe|Carrots|Celery|Cherries|Chile Peppers|Chile - Roasted|Cucumbers,Eggplant|Garlic|Green Beans|Herbs|Honeydew|Kale|Leeks|Lettuce|Microgreens|Nectarines|Okra|Onions|Peaches|Pears,Peas|Plums|Potatoes|Pumpkins|Raspberries|Rhubarb|Spinach|Squash|Strawberries|Sweet Corn|Tomatoes|Turnips|Watermelon|Zucchini,All produce is Certified Organic,Beef,,,,Eggs|Baked Goods|Honey,Cider,,"While we love dogs, we have Peyton, please leave yours at home also please no smoking.",,,39.94666596877159,-104.82816398691948
,Delta,The Delta Farmers Market & Bazaar,2195 Southgate Lane,,Delta,CO,81416,(970) 549-7151,No,deltacofarmersmarket@gmail.com,https://www.deltacofarmersmarket.com/,https://www.facebook.com/groups/246038845197062,,,May|June|July|August|September|October,3|6,,,8:30 am -1 pm,,,8:30 am - 1 pm,,Farmers' Market,,We have an antiques and collectibles bazaar which runs alongside our farmers market.,No,No,Yes,,Apples|Apricots|Asparagus|Beets|Bell Peppers|Broccoli|Brussels Sprouts|Cabbage|Cantaloupe|Carrots|Cauliflower|Cherries|Chile Peppers|Chile - Roasted|Cucumbers,Garlic|Grapes|Green Beans|Herbs|Honeydew|Kale|Leeks|Lettuce|Microgreens|Mushrooms|Onions|Peaches|Pears|Eggplant,Pinto Beans|Plums|Potatoes|Pumpkins|Radishes|Raspberries|Rhubarb|Spinach|Squash|Strawberries|Sweet Corn|Tomatoes|Turnips|Watermelon|Zucchini,All produce available here on the Western Slope,,,,,Baked Goods|Eggs|Honey|Jams|Jellies|Pickles|Popcorn,Juices|Handcrafted Gifts,"Antiques, collectibles, handcrafted jewelry, artwork, aprons, natural bath & body, woodworking, 3-d printing, wreaths, plants, flowers.","All products are grown, harvested, created, curated or produced in our local area, featuring small growers and producers. We offer handcrafted gifts, antiques & collectibles. Many local small businesses are on-site.",,,38.71781100000001,-108.054999
,Pueblo,Milberger Farms at Peppes,28570 E Us HWY 50,,Pueblo,CO,81006,(719) 948-3305,No,milbergerfarmsatpeppes@gmail.com,milbergerfarms.com,Facebook.com/WherePuebloChileisKing,,,January|February|March|April|May|June|July|August|September|October|November|December,1|2|3|4|5|6|7|8,winter 7am-3pm / summer 7am-5pm,winter 7am-3pm / summer 7am-5pm,winter 7am-3pm / summer 7am-5pm,winter 7am-3pm / summer 7am-5pm,winter 7am-3pm / summer 7am-8pm,winter 7am-3pm / summer 7am-5pm,winter 7am-3pm / summer 7am-5pm,Agritourism|Garden Center|Greenhouse|Restaurant|Sell to Schools,Hayrides|Pumpkin Patch|Tours,,Yes,Yes,Yes,,Asparagus|Beets|Bell Peppers|Broccoli|Cantaloupe|Cauliflower|Chile Peppers|Chile - Roasted|Cucumbers|Apples|Apricots|Cabbage|Cherries,Eggplant|Green Beans|Herbs|Onions|Grapes|Mushrooms|Lettuce|Peaches|Pears,Pinto Beans|Pumpkins|Radishes|Squash|Sweet Corn|Tomatoes|Watermelon|Zucchini|Peas|Plums|Potatoes,,Beef|Pork|Sausage|Jerky,,,,Baked Goods|Cheese|Honey|Jams|Jellies|Pickles|Popcorn,Juices,,"We are family owned and operated. We offer fresh seasonal produce, homemade baked goods, and more. Keep an eye on our website and Facebook for dates and more information. Donâ€™t forget our Fall Festival and Friday Night Cruise Nights. Need to have a party? We have you covered with our outdoor patio. ",,winter 7am-3pm / summer 7am-5pm,38.24455499999999,-104.51925
,Denver,National Celiac Association of Denver,PO Box 221742,APT 127,Denver,CO,80222,(970) 978-2329,Yes,,www.denverceliacs.org,https://www.facebook.com/DenverCeliacs,@denverceliacs,,June|July|August|September|October,6,,,,,,"9:00 AM-1:00 PM Second Saturday of each month except May, November,December, January, February, March, April",,Farmers' Market,,,No,No,Yes,We don't accept snap yet but plan to apply again! ,,,,,,,,,,,,"Mark your calendars for Colorado's only Gluten-Free Farmerâ€™s Market. The farmerâ€™s market will include products from food trucks, small businesses, produce, crafts, art, beauty products, herbs, house plants, canned goods, dog treats, prepared foods, flowers, and more!",,,39.69922500000001,-104.89788899999999
,Mesa,C & R Farms LLC,3620 F Road,,Palisade,CO,81526,(970) 986-0321,,megan@candrfarms.com,candrfarms.com,C & R Farms,,,July|August|September,8,,,,,,,,On-Farm/Ranch sales|Sell to Schools,,,No,No,Yes,,Apples|Apricots|Cherries,Pears|Peaches|Nectarines,Plums,,,,,,,,,"Three generations family owned and operated for over 45 years.  Our fruit is picked and packed by hand to help ensure quality and freshness. We offer direct sales from the farms and farmer's markets located in the Colorado Springs, Denver and Ft Collins area.  We also welcome groups looking for an outstand fundraiser.",,9:00-5:00,39.092247000000015,-108.380439
